2010CensusBG,TotPop,EmploymentMix,EmploymentHHMix,IntersectionDensity,ProximitytoTransit,PopDensity,ResDensity,WalkIndex,MedHV,MedRent,MedRent12,MedIncome,MedYrsLived,MedAge,Percent65,Percentage of Households with a person over 65,Percentage of Elderly Population: Female,Percentage of Elderly Population below poverty line,Percentage of Elderly Population living with family,Percentage of Elderly Population not working in the past year
530330018002,1697,0.711744601,0.40489222,152.1314781,210.56,28.13602,13.496005,16.16666667,462000,1656,19872,48497,5,31.7,0.010017678,2.34%,1,1,1,1
530330018003,1874,0.542069865,0.317722003,149.5832893,388.92,27.379788,12.69639,13.83333333,467600,1473,17676,43468,4,30.9,0.05923159,10.98%,0.684684685,0.144144144,0.702702703,0.567567568
530330019001,2151,0.632307928,0.674116613,398.0428242,207.87,11.365388,6.255983,17.66666667,316700,1907,22884,46105,5,35.4,0.171548117,25.60%,0.672086721,0.062330623,0.482384824,0.804878049
530330019002,1632,0.757003273,0.590361459,118.7514137,268.22,15.936851,6.064206,16.5,621600,1631,19572,64766,9,35,0.068014706,12.27%,0.702702703,0.135135135,0.432432432,0.702702703
530330019003,1188,0.601154721,0.399837044,109.0879854,333.94,9.955975,4.517063,13.83333333,552200,2076,24912,40161,14,35.5,0.106902357,17.64%,0.57480315,0,0.661417323,0.716535433
530330020001,1764,0.566689077,0.303610251,197.8748062,359.42,16.348994,7.46085,14.5,513400,1676,20112,49519,7,32.7,0.085045662,18.93%,0.67114094,0.140939597,0.395973154,0.677852349
530330020002,1007,0.719663638,0.465816497,106.5748029,394.29,13.23824,6.612547,14.83333333,537700,1401,16812,58295,14,43.9,0.160873883,26.07%,0.635802469,0.080246914,0.543209877,0.617283951
530330020003,983,0.727727877,0.629265749,106.549246,323.21,14.876191,5.675048,15.83333333,614000,2017,24204,73875,8,35.9,0.138351984,27.73%,0.455882353,0.029411765,0.544117647,0.522058824
530330021001,1753,0.80267419,0.473156903,145.9992157,287,12.495344,5.338855,16.33333333,642200,1875,22500,63516,16,43.7,0.11294923,21.07%,0.702020202,0.121212121,0.580808081,0.601010101
530330021002,1197,0.582763252,0.64579134,106.9198159,427.82,13.665081,5.023088,14.66666667,472700,1791,21492,43879,12,32.4,0.121367521,25.12%,0.633802817,0.070422535,0.401408451,0.732394366
530330021003,1400,0.756576454,0.342037235,144.4491473,551.2,12.806294,6.522063,14.66666667,614400,1404,16848,53167,7,35.7,0.142142857,22.95%,0.698492462,0.100502513,0.35678392,0.427135678
530330022001,1807,0.316438937,0.596164906,102.3310295,842.22,11.869414,4.565159,11.83333333,717400,2353,28236,32136,14,39.3,0.179302712,32.97%,0.592592593,0.108024691,0.922839506,0.787037037
530330022002,1496,0.663995805,0.312151861,88.20916893,496.21,10.750596,4.160826,12.83333333,700900,1366,16392,65741,14,38.5,0.111631016,22.24%,0.634730539,0,0.640718563,0.353293413
530330022003,1240,0.760079341,0.416612842,111.9490622,700.06,8.604812,4.281588,14,783200,1739,20868,73319,7,44.4,0.269166667,40.77%,0.61516035,0,0.50728863,0.857142857
530330022004,1324,0.373058226,0.406511398,86.03337526,826.13,5.930381,2.476964,11,1008800,NA,NA,104875,11,48,0.211480363,36.53%,0.653571429,0,0.667857143,0.764285714
530330024001,983,0.710284027,0.668018467,185.8033081,0,9.802905,4.547431,18.16666667,678200,2275,27300,93802,16,44.3,0.1525941,27.07%,0.506666667,0,0.726666667,0.74
530330024002,834,0.523650198,0.205051872,174.532791,81.81,18.948433,8.542699,14.66666667,587800,1220,14640,53646,7,40.8,0.148681055,32.71%,0.701612903,0,0.588709677,0.588709677
530330024003,1407,0.726947513,0.399077355,187.8190817,241.4,14.775049,5.460573,16.5,640700,1958,23496,61895,12,39.2,0.124378109,21.92%,0.645714286,0,0.748571429,0.902857143
530330025001,1886,0.762612351,0.654460655,194.3696199,120.7,13.871397,5.222,18.5,607200,1941,23292,50439,15,37.3,0.108093717,22.63%,0.482758621,0.039408867,0.694581281,0.645320197
530330025002,1471,0.736598853,0.633912999,147.7541934,482.8,17.066801,7.344177,16.16666667,619000,1534,18408,74286,9,41,0.158395649,29.38%,0.557939914,0.115879828,0.412017167,0.712446352
530330026001,1134,0.747542988,0.493864188,197.0572455,364.78,18.703707,8.675617,16.5,592300,1313,15756,48750,10,39.7,0.183421517,25.00%,0.548076923,0.322115385,0.903846154,0.783653846
530330026002,1621,0.585415303,0.584643294,167.0595701,287,19.792652,7.643554,16,702100,1755,21060,54929,15,39.1,0.136952498,24.75%,0.324324324,0.153153153,0.788288288,0.585585586
530330026003,1469,0.724706387,0.41707834,213.9920336,179.71,18.188431,6.74792,16.66666667,669400,1735,20820,55833,8,29.6,0.03539823,9.67%,0.576923077,0.173076923,0.634615385,0.576923077
530330026004,1044,0.730127347,0.649411231,206.9413206,284.32,15.848294,5.692634,17.66666667,714600,2058,24696,60625,11,36.6,0.086206897,17.87%,0.622222222,0,0.633333333,0.622222222
